"","year","player_name","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_t2g","sg_total"
"385",2016,"Jordan Spieth","36",6,1,70.41,52,20.61,52.25,297.2,4.55,64.81,"1,829.750",28.1,59.54,0.758,1.176
"386",2017,"Jordan Spieth","36",6,1,70.41,52,20.61,52.25,297.2,4.55,64.81,"1,829.750",28.1,59.54,0.758,1.176
"387",2018,"Jordan Spieth","36",6,1,70.41,52,20.61,52.25,297.2,4.55,64.81,"1,829.750",28.1,59.54,0.758,1.176
"388",2019,"Jordan Spieth","36",6,1,70.41,52,20.61,52.25,297.2,4.55,64.81,"1,829.750",28.1,59.54,0.758,1.176
"389",2016,"Joseph Bramlett","T138",0,0,71.869,48,24.24,57.29,306.4,4.56,68.17,"1,036.500",29.71,56,0.39,-0.504
"390",2017,"Joseph Bramlett","T138",0,0,71.869,48,24.24,57.29,306.4,4.56,68.17,"1,036.500",29.71,56,0.39,-0.504
"391",2018,"Joseph Bramlett","T138",0,0,71.869,48,24.24,57.29,306.4,4.56,68.17,"1,036.500",29.71,56,0.39,-0.504
"392",2019,"Joseph Bramlett","T138",0,0,71.869,48,24.24,57.29,306.4,4.56,68.17,"1,036.500",29.71,56,0.39,-0.504
"393",2016,"Josh Teater","144",0,0,71.52,30,30,66.67,288.8,4.46,62.78,"630.667",28.07,61.69,-0.039,0.028
"394",2017,"Josh Teater","144",0,0,71.52,30,30,66.67,288.8,4.46,62.78,"630.667",28.07,61.69,-0.039,0.028
"395",2018,"Josh Teater","144",0,0,71.52,30,30,66.67,288.8,4.46,62.78,"630.667",28.07,61.69,-0.039,0.028
"396",2019,"Josh Teater","144",0,0,71.52,30,30,66.67,288.8,4.46,62.78,"630.667",28.07,61.69,-0.039,0.028
"397",2016,"Justin Rose","44",1,0,71.197,30,29.17,61.06,297,4.44,63.89,"1,072.333",27.67,54.36,-0.307,0.119
"398",2017,"Justin Rose","44",1,0,71.197,30,29.17,61.06,297,4.44,63.89,"1,072.333",27.67,54.36,-0.307,0.119
"399",2018,"Justin Rose","44",1,0,71.197,30,29.17,61.06,297,4.44,63.89,"1,072.333",27.67,54.36,-0.307,0.119
"400",2019,"Justin Rose","44",1,0,71.197,30,29.17,61.06,297,4.44,63.89,"1,072.333",27.67,54.36,-0.307,0.119
"401",2016,"Justin Suh","35",1,0,NA,NA,32.81,65.11,297.4,4.37,69.23,"467.333",27.96,60.42,0.445,1.687
"402",2017,"Justin Suh","35",1,0,NA,NA,32.81,65.11,297.4,4.37,69.23,"467.333",27.96,60.42,0.445,1.687
"403",2018,"Justin Suh","35",1,0,NA,NA,32.81,65.11,297.4,4.37,69.23,"467.333",27.96,60.42,0.445,1.687
"404",2019,"Justin Suh","35",1,0,NA,NA,32.81,65.11,297.4,4.37,69.23,"467.333",27.96,60.42,0.445,1.687
"405",2016,"Justin Thomas","2",5,1,69.778,45,24.75,58.5,301.7,4.53,69.44,"1,272.833",28.19,59.74,1.487,1.843
"406",2017,"Justin Thomas","2",5,1,69.778,45,24.75,58.5,301.7,4.53,69.44,"1,272.833",28.19,59.74,1.487,1.843
"407",2018,"Justin Thomas","2",5,1,69.778,45,24.75,58.5,301.7,4.53,69.44,"1,272.833",28.19,59.74,1.487,1.843
"408",2019,"Justin Thomas","2",5,1,69.778,45,24.75,58.5,301.7,4.53,69.44,"1,272.833",28.19,59.74,1.487,1.843
"409",2016,"K.J. Choi","T168",0,0,72.183,34,16.84,65.55,270.9,4.64,62.42,"1,034.750",28.85,62.61,-0.521,-1.186
"410",2017,"K.J. Choi","T168",0,0,72.183,34,16.84,65.55,270.9,4.64,62.42,"1,034.750",28.85,62.61,-0.521,-1.186
"411",2018,"K.J. Choi","T168",0,0,72.183,34,16.84,65.55,270.9,4.64,62.42,"1,034.750",28.85,62.61,-0.521,-1.186
"412",2019,"K.J. Choi","T168",0,0,72.183,34,16.84,65.55,270.9,4.64,62.42,"1,034.750",28.85,62.61,-0.521,-1.186
"413",2016,"Keegan Bradley","16",3,0,70.5,56,23.08,65.47,300,4.44,68.75,"2,309.583",29.14,59.05,1.216,0.796
"414",2017,"Keegan Bradley","16",3,0,70.5,56,23.08,65.47,300,4.44,68.75,"2,309.583",29.14,59.05,1.216,0.796
"415",2018,"Keegan Bradley","16",3,0,70.5,56,23.08,65.47,300,4.44,68.75,"2,309.583",29.14,59.05,1.216,0.796
"416",2019,"Keegan Bradley","16",3,0,70.5,56,23.08,65.47,300,4.44,68.75,"2,309.583",29.14,59.05,1.216,0.796
"417",2016,"Keith Mitchell","116",1,0,71.508,50,16.67,52.72,305.6,4.64,63,"2,326.333",28.36,57.06,-0.27,-0.213
"418",2017,"Keith Mitchell","116",1,0,71.508,50,16.67,52.72,305.6,4.64,63,"2,326.333",28.36,57.06,-0.27,-0.213
"419",2018,"Keith Mitchell","116",1,0,71.508,50,16.67,52.72,305.6,4.64,63,"2,326.333",28.36,57.06,-0.27,-0.213
